Classifier,Subject,Accuracy,Precision,Recall,F1-score,Kappa
FBCSP+LDA,1,67.2%,74.4%,67.2%,64.6%,0.344
FBCSP+SVM,1,60.9%,74.5%,60.9%,54.7%,0.219
FBCSP+LDA,2,59.6%,59.8%,59.6%,59.5%,0.193
FBCSP+SVM,2,53.9%,54.0%,53.9%,53.8%,0.079
FBCSP+LDA,3,55.0%,55.0%,55.0%,55.0%,0.100
FBCSP+SVM,3,55.6%,55.9%,55.6%,55.1%,0.113
FBCSP+LDA,4,95.3%,95.3%,95.3%,95.3%,0.906
FBCSP+SVM,4,90.0%,90.1%,90.0%,90.0%,0.800
FBCSP+LDA,5,89.1%,90.4%,89.1%,89.0%,0.781
FBCSP+SVM,5,88.8%,90.0%,88.8%,88.7%,0.775
FBCSP+LDA,6,77.5%,81.0%,77.5%,76.8%,0.550
FBCSP+SVM,6,75.9%,80.7%,75.9%,75.0%,0.519
FBCSP+LDA,7,74.7%,74.9%,74.7%,74.6%,0.494
FBCSP+SVM,7,77.5%,77.7%,77.5%,77.5%,0.550
FBCSP+LDA,8,86.2%,86.9%,86.2%,86.2%,0.725
FBCSP+SVM,8,79.4%,81.1%,79.4%,79.1%,0.588
FBCSP+LDA,9,78.8%,78.9%,78.8%,78.7%,0.575
FBCSP+SVM,9,80.3%,80.4%,80.3%,80.3%,0.606
