Classifier,Subject,Accuracy,Precision,Recall,F1-score,Kappa
Riem-MDM,1,55.9%,69.2%,55.9%,46.7%,0.119
Riem-TS+LDA,1,67.2%,78.6%,67.2%,63.6%,0.344
Riem-MDM,2,57.9%,58.3%,57.9%,57.3%,0.157
Riem-TS+LDA,2,56.1%,56.3%,56.1%,55.7%,0.121
Riem-MDM,3,53.1%,53.3%,53.1%,52.4%,0.062
Riem-TS+LDA,3,52.2%,52.5%,52.2%,50.7%,0.044
Riem-MDM,4,93.1%,93.2%,93.1%,93.1%,0.863
Riem-TS+LDA,4,92.5%,92.5%,92.5%,92.5%,0.850
Riem-MDM,5,67.5%,73.3%,67.5%,65.3%,0.350
Riem-TS+LDA,5,70.3%,75.7%,70.3%,68.7%,0.406
Riem-MDM,6,76.2%,80.9%,76.2%,75.3%,0.525
Riem-TS+LDA,6,76.6%,80.7%,76.6%,75.7%,0.531
Riem-MDM,7,70.9%,72.7%,70.9%,70.4%,0.419
Riem-TS+LDA,7,74.1%,75.3%,74.1%,73.7%,0.481
Riem-MDM,8,86.9%,87.2%,86.9%,86.8%,0.738
Riem-TS+LDA,8,88.8%,88.8%,88.8%,88.7%,0.775
Riem-MDM,9,75.6%,75.8%,75.6%,75.6%,0.512
Riem-TS+LDA,9,78.8%,81.9%,78.8%,78.2%,0.575
