Model,Subject,Accuracy,Precision,Recall,F1-score,Kappa,Best Epoch,Parameters
eegnet,1,49.1%,49.1%,49.1%,49.1%,-0.019,6,"6,194"
eegnet,2,49.3%,49.2%,49.3%,48.4%,-0.014,1,"6,194"
eegnet,3,50.0%,25.0%,50.0%,33.3%,0.000,1,"6,194"
eegnet,4,48.8%,48.7%,48.8%,48.7%,-0.025,13,"6,194"
eegnet,5,50.6%,50.6%,50.6%,50.4%,0.012,11,"6,194"
eegnet,6,48.1%,48.0%,48.1%,47.4%,-0.038,8,"6,194"
eegnet,7,51.6%,51.6%,51.6%,51.1%,0.031,21,"6,194"
eegnet,8,48.8%,48.7%,48.8%,48.2%,-0.025,6,"6,194"
eegnet,9,49.5%,49.5%,49.5%,48.4%,-0.009,5,"6,194"
shallowconvnet,1,47.2%,47.0%,47.2%,46.5%,-0.056,17,"38,442"
shallowconvnet,2,49.8%,49.8%,49.8%,49.8%,-0.004,4,"38,442"
shallowconvnet,3,49.7%,45.8%,49.7%,34.5%,-0.006,1,"38,442"
shallowconvnet,4,50.5%,50.5%,50.5%,50.5%,0.009,19,"38,442"
shallowconvnet,5,50.5%,50.8%,50.5%,45.2%,0.009,3,"38,442"
shallowconvnet,6,50.3%,50.8%,50.3%,41.4%,0.006,1,"38,442"
shallowconvnet,7,50.3%,50.7%,50.3%,42.0%,0.006,1,"38,442"
shallowconvnet,8,51.4%,51.9%,51.4%,48.2%,0.028,17,"38,442"
shallowconvnet,9,51.4%,51.5%,51.4%,50.5%,0.028,5,"38,442"
spectnet,1,49.4%,49.4%,49.4%,49.2%,-0.012,10,"604,146"
spectnet,2,50.0%,25.0%,50.0%,33.3%,0.000,1,"604,146"
spectnet,3,50.8%,50.8%,50.8%,50.0%,0.016,14,"604,146"
spectnet,4,50.5%,50.5%,50.5%,50.4%,0.009,17,"604,146"
spectnet,5,51.9%,51.9%,51.9%,51.8%,0.037,18,"604,146"
spectnet,6,51.2%,51.3%,51.2%,50.9%,0.025,12,"604,146"
spectnet,7,49.4%,49.4%,49.4%,48.9%,-0.012,19,"604,146"
spectnet,8,48.4%,48.4%,48.4%,48.1%,-0.031,12,"604,146"
spectnet,9,50.9%,51.0%,50.9%,50.1%,0.019,9,"604,146"
